"DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES"
"CAN;BOG;5;227;42729118"
"CAN;BOG;123;64;1205536"
"CAN;BOG;12;216;41219064"
"CAN;BOG;2;66;12594714"
"CAN;BOG;150;1110;20891421"
"CAN;BOG;360;4015;755185365"
"CAN;BOG;430;43078;81025841"
"CAN;BOG;1526;40908;769933559"
"CAN;BOG;24;96;18068256"
"CAN;BOG;4065;15447;290729532"
"CAN;BOG;5;36;6869844"
"CAN;BOG;30;19368;369597607"
"CAN;BOG;15;51303;97901002"
"CAN;BOG;15;30415;5804064"
"CAN;BOG;50;3888;74194315"
"CAN;BOG;5;36;6869844"
"CAN;BOG;10;84;16029636"
"CAN;BOG;60;88596;169066861"
"CAN;BOG;15;169;32250101"
"CAN;BOG;532;1120;21158704"
"CAN;BOG;500;23250;43707210"
"CAN;BOG;60;10;188091"
"CAN;BOG;50;5;940455"
"CAN;BOG;48;5;940455"
"CAN;BOG;35;18725;35261797"
"CAN;BOG;100;1106;208239234"
"CAN;BOG;3;1390344;2613095934"
"CAN;BOG;12875;27344;516574645"
"CAN;BOG;72;207484;391281627"
"CAN;BOG;103;558102;1052491076"
"CAN;BOG;125300;61397;1157450104"
"CAN;BOG;54;9293;17469725"
"CAN;BOG;276;206348;387909478"
"CAN;BOG;2148;148452;279071946"
"CAN;BOG;258;2274;42748471"
"CAN;BOG;132;69754;13112915"
"CAN;BOG;108;12058;22667593"
"CAN;BOG;1197;117016;219976038"
"CAN;BOG;1008;16437;30899588"
"CAN;BOG;92;6240;118171248"
"CAN;BOG;3;135;2541159"
"CAN;BOG;24;14509;2735701"
"CAN;BOG;122;231833;437125758"
"CAN;BOG;44;13878;26167247"
"CAN;BOG;54;41635;78503625"
"CAN;BOG;2;5030;9475011"
"CAN;BOG;8;21;3955665"
"CAN;BOG;250;71325;1340524845"
"CAN;BOG;108;1026;1928326"
"CAN;BOG;324;15312;287782915"
"CAN;BOG;2012;644;121038512"
"CAN;BOG;1832;19141;36062793"
"CAN;BOG;300;4975;9373199"
"CAN;BOG;58916;1041312;1963918763"
"CAN;BOG;139;556036;1046520916"
"CAN;BOG;29;783753;147336159"
"COG;BOG;82;94;1770631"
"COG;BOG;10;532595;1003222572"
"COG;BOG;2;267839;504514932"
"COG;BOG;15;1762153;3319279498"
"COG;BOG;2;254798;478989664"
"KOR;BOG;42;512;9637581"
"KOR;BOG;3216;14472;272601828"
"KOR;BOG;1984;74648;1402979301"
"KOR;BOG;6;8670;163426899"
"CRI;BOG;300;3378;63631386"
"CRI;BOG;11952;3202976;6021210523"
"CRI;BOG;224;46092;86647429"
"CRI;BOG;58;79908;150217451"
"CRI;BOG;184;4281;804776629"
"CRI;BOG;40;5832;1096346"
"CRI;BOG;1650;5115;96444348"
"CRI;BOG;208;292637;551126593"
"CRI;BOG;220;102674;1935572538"
"CRI;BOG;48;500;942760"
"CRI;BOG;48;768;144807936"
"CRI;BOG;48;444;83717088"
"CRI;BOG;2;122;23047874"
"CRI;BOG;2;380;7178846"
"CRI;BOG;2;234;44206578"
"CRI;BOG;48;6212;1173552404"
"CRI;BOG;20;1232;232745744"
"CRI;BOG;147;6058;1144459186"
"CRI;BOG;46;432;81612144"
"CRI;BOG;104295;255115;48139984"
"CRI;BOG;648;12674;23883266"
"CRI;BOG;114;19875;37453046"
"CRI;BOG;92915;248728;467623972"
"CRI;BOG;576297;1448616;2735809972"
"CRI;BOG;15926;50569;95233887"
"CRI;BOG;80075;315883;594517958"
"CRI;BOG;112;17881;3368681"
"CRI;BOG;223273;40469;762466097"
"CRI;BOG;745;17664;33249654"
"CRI;BOG;21418;54062;101642833"
"CRI;BOG;76883;182033;3428229"
"CRI;BOG;26766;4905;92628672"
"CRI;BOG;320047;871115;1640632815"
"CRI;BOG;7259;32908;621688064"
"CRI;BOG;7006;170346;321114909"
"CRI;BOG;11239;370772;697874509"
"CRI;BOG;96;25314;47648723"
"CRI;BOG;485;42838;807326607"
"CRI;BOG;244;194875;367228296"
"CRI;BOG;357;248598;467989745"
"CRI;BOG;57;35987;67814982"
"CRI;BOG;71;37846;71318138"
"CRI;BOG;66;46705;88012303"
"CRI;BOG;44;9717;18311006"
"CRI;BOG;36;2040;38638824"
"CRI;BOG;500;563;106635578"
"CRI;BOG;7469;21025;397143572"
"CRI;BOG;385285;53758;1010616633"
"CRI;BOG;225;5121;9626865"
"CRI;BOG;249083;649404;122092541"
"CRI;BOG;386;866097;1630289027"
"CRI;BOG;41;112;21213472"
"CRI;BOG;43;1314;248879484"
"CRI;BOG;24;1728;327293568"
"CRI;BOG;7;158;29926148"
"CRI;BOG;3;39;7386834"
"CRI;BOG;6131;1000;1885520"
"CRI;BOG;159;171561;323294695"
"CRI;BOG;114;269181;507252752"
"CRI;BOG;159;292081;5505280"
"CRI;BOG;62;81648;153859941"
"CRI;BOG;83;157896;297543959"
"CRI;BOG;199;433738;817510305"
"CRI;BOG;131;33066;623105624"
"CRI;BOG;52;46397;87431899"
"CRI;BOG;508;1549997;2921014017"
"CRI;BOG;92;192448;362654785"
"CRI;BOG;50;750;1411755"
"CRI;BOG;24;1224;23009731"
"CRI;BOG;885;110688;208502239"
"CRI;BOG;196;32006;602807405"
"CRI;BOG;28917;2625809;4947183594"
"CRI;BOG;62845;968196;1823702438"
"CRI;BOG;6;1328;25056438"
"CRI;BOG;200;134;25270256"
"CRI;BOG;1178;7971;1498117566"
"CRI;BOG;5967;3471;65286386"
"CRI;BOG;8708;19593;368526696"
"CRI;BOG;13118;2475;46614645"
"CRI;BOG;265;497316;936654901"
"CRI;BOG;57;5097;95997917"
"CRI;BOG;15;29211;55318915"
"CRI;BOG;46;920;17358376"
"CRI;BOG;46;6358;119961472"
"CRI;BOG;72;19199;3635849"
"CRI;BOG;385;792866;1494024261"
"CRI;BOG;44;1865;35188447"
"CRI;BOG;376;2508317;4732642349"
"CRI;BOG;102;464016;875496108"
"CRI;BOG;62;171258;323126169"
"CRI;BOG;174;1004142;1894595043"
"CRI;BOG;100;2532;477732696"
"CRI;BOG;20;10531;19943292"
"CRI;BOG;300;176;33190784"
"CRI;BOG;77776;1417856;2665399137"
"CRI;BOG;10664;1728605;326025862"
"CRI;BOG;25851;493316;934227041"
"CRI;BOG;100;875;1650110"
"CRI;BOG;24;1368;257894"
"CRI;BOG;300;363;68455992"
"CRI;BOG;24;1368;2576519"
"CRI;BOG;30;4590;87590511"
"CRI;BOG;10;4145;79098621"
"CRI;BOG;3;1974;37183251"
"CRI;BOG;2;360;6792408"
"CRI;BOG;1;12683;2387371822"
"CRI;BOG;2981;2981;562449118"
"CRI;BOG;4466;24225;457072455"
"CRI;BOG;1;4800;9056544"
"CRI;BOG;89;51393;97090114"
"CRI;BOG;60;1097;206176762"
"CRI;BOG;213;308813;583400255"
"CRI;BOG;194;1310;24704504"
"CRI;BOG;46;35138;66141663"
"CRI;BOG;10;81978;154310469"
"CRI;BOG;156;433203;815435335"
"CRI;BOG;66;145349;273596237"
"CRI;BOG;46;37521;70627279"
"CRI;BOG;54;81801;153977294"
"CRI;BOG;99;110474;207949629"
"CRI;BOG;56;90472;170299064"
"CRI;BOG;69;164453;30955646"
"CRI;BOG;109;385746;726105126"
"CRI;BOG;59;108289;203836716"
"CRI;BOG;128;49164;925433638"
"CRI;BOG;64;138878;261415615"
"CRI;BOG;68;161099;303243092"
"CRI;BOG;49;52291;98429441"
"CRI;BOG;62;125604;236429433"
